"num_hecho","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","sexo_pil","edad_pil","g_edad_pil","estado_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
1449,13,"Mayo",9,"Miercoles",1,"Quiche","Urbano","Ignorado","Ignorado","Ignorado","Ebrio","Pick up","Blanco","1988","Empotro"
1587,1,"Julio",9,"Lunes",15,"Jutiapa","Rural","Mujer","13","15-19","Normal","Motocicleta","Gris","Ignorado","Empotro"
679,1,"Marzo",9,"Domingo",17,"Peten","Rural","Hombre","14","15-19","Normal","Motocicleta","Ignorado","Ignorado","Caida"
633,26,"Febrero",9,"Jueves",18,"Jalapa","Rural","Hombre","15","15-19","Ignorado","Automovil","Rojo","Ignorado","Caida"
673,1,"Marzo",9,"Domingo",15,"Suchitepequez","Urbano","Hombre","15","15-19","Ignorado","Mototaxi","Rojo","2007","Empotro"
1046,5,"Abril",9,"Domingo",14,"Izabal","Urbano","Hombre","15","15-19","Ignorado","Mototaxi","Rojo","Ignorado","Caida"
946,26,"Marzo",9,"Jueves",8,"San Marcos","Rural","Hombre","15","15-19","Normal","Pick up","Verde","Ignorado","Empotro"
1815,27,"Junio",9,"Sabado",11,"Baja Verapaz","Rural","Hombre","15","15-19","Normal","Pick up","Rojo","Ignorado","Empotro"
1163,14,"Abril",9,"Martes",14,"Baja Verapaz","Rural","Hombre","15","15-19","Normal","Pick up","Blanco","Ignorado","Volco"
935,25,"Marzo",9,"Miercoles",9,"San Marcos","Rural","Hombre","15","15-19","Normal","Pick up","Azul","Ignorado","Caida"
2794,1,"Octubre",9,"Jueves",20,"Quiche","Rural","Hombre","15","15-19","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
678,1,"Marzo",9,"Domingo",11,"Peten","Rural","Hombre","15","15-19","Normal","Motocicleta","Ignorado","Ignorado","Caida"
583,22,"Febrero",9,"Domingo",23,"Guatemala","Urbano","Hombre","16","15-19","Ignorado","Automovil","Rojo","Ignorado","Empotro"
2940,18,"Octubre",9,"Domingo",15,"Chiquimula","Rural","Mujer","16","15-19","Ignorado","Pick up","Rojo","Ignorado","Caida"
2631,11,"Septiembre",9,"Viernes",19,"Quiche","Urbano","Mujer","16","15-19","Ignorado","Motocicleta","Negro","2008","Colisión"
2397,15,"Agosto",9,"Sabado",20,"Chiquimula","Rural","Hombre","16","15-19","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
2979,23,"Octubre",9,"Viernes",11,"Huehuetenango","Rural","Hombre","16","15-19","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
3500,28,"Diciembre",9,"Lunes",16,"Guatemala","Urbano","Hombre","16","15-19","Ignorado","Motocicleta","Negro","Ignorado","Colisión"
513,15,"Febrero",9,"Domingo",18,"Quiche","Urbano","Hombre","16","15-19","Ignorado","Motocicleta","Azul","Ignorado","Caida"
2754,27,"Septiembre",9,"Domingo",14,"Peten","Rural","Hombre","16","15-19","Ignorado","Motocicleta","Ignorado","Ignorado","Caida"
617,23,"Febrero",9,"Lunes",20,"Sacatepequez","Rural","Hombre","16","15-19","Ignorado","Mototaxi","Gris","Ignorado","Empotro"
2547,30,"Agosto",9,"Domingo",21,"Chimaltenango","Urbano","Hombre","16","15-19","Ebrio","Automovil","Rojo","Ignorado","Colisión"
3388,19,"Diciembre",9,"Sabado",23,"Guatemala","Urbano","Hombre","16","15-19","Ebrio","Motocicleta","Negro","Ignorado","Colisión"
2017,20,"Julio",9,"Lunes",16,"Jutiapa","Rural","Hombre","16","15-19","Ebrio","Motocicleta","Negro","2007","Caida"
77,9,"Enero",9,"Viernes",10,"Santa Rosa","Urbano","Hombre","16","15-19","Normal","Camioneta","Blanco","1988","Colisión"
1752,20,"Junio",9,"Sabado",17,"Suchitepequez","Rural","Hombre","16","15-19","Normal","Camioneta","Blanco","Ignorado","Colisión"
297,29,"Enero",9,"Jueves",13,"San Marcos","Rural","Hombre","16","15-19","Normal","Pick up","Ignorado","1984","Colisión"
1164,15,"Abril",9,"Miercoles",9,"Huehuetenango","Rural","Hombre","16","15-19","Normal","Microbus","Blanco","2007","Colisión"
1952,12,"Julio",9,"Domingo",11,"San Marcos","Urbano","Hombre","16","15-19","Normal","Microbus","Blanco","2007","Colisión"
287,28,"Enero",9,"Miercoles",20,"Guatemala","Urbano","Hombre","16","15-19","Normal","Bus urbano","Rojo","1990","Empotro"
1040,5,"Abril",9,"Domingo",3,"Guatemala","Rural","Hombre","17","15-19","Ignorado","Automovil","Blanco","Ignorado","Empotro"
3471,25,"Diciembre",9,"Viernes",23,"Escuintla","Rural","Mujer","17","15-19","Ignorado","Automovil","Beige","Ignorado","Empotro"
904,22,"Marzo",9,"Domingo",19,"Jutiapa","Rural","Hombre","17","15-19","Ignorado","Automovil","Azul","Ignorado","Volco"
1051,6,"Abril",9,"Lunes",0,"Chiquimula","Rural","Hombre","17","15-19","Ignorado","Pick up","Blanco","Ignorado","Caida"
1200,19,"Abril",9,"Domingo",0,"Zacapa","Urbano","Hombre","17","15-19","Ignorado","Motocicleta","Negro","1991","Colisión"
3096,6,"Noviembre",9,"Viernes",18,"Guatemala","Urbano","Hombre","17","15-19","Ignorado","Motocicleta","Azul","2008","Colisión"
1171,16,"Abril",9,"Jueves",0,"Huehuetenango","Rural","Hombre","17","15-19","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
2980,23,"Octubre",9,"Viernes",23,"Peten","Urbano","Hombre","17","15-19","Ignorado","Motocicleta","Corinto","Ignorado","Colisión"
2418,17,"Agosto",9,"Lunes",10,"Baja Verapaz","Rural","Hombre","17","15-19","Ignorado","Motocicleta","Negro","Ignorado","Empotro"
729,5,"Marzo",9,"Jueves",4,"Jalapa","Rural","Hombre","17","15-19","Ignorado","Motocicleta","Anaranjado","Ignorado","Caida"
790,9,"Marzo",9,"Lunes",22,"Suchitepequez","Rural","Hombre","17","15-19","Ignorado","Motocicleta","Rojo","Ignorado","Caida"
1117,11,"Abril",9,"Sabado",17,"Santa Rosa","Rural","Hombre","17","15-19","Ignorado","Motocicleta","Ignorado","Ignorado","Caida"
2531,28,"Agosto",9,"Viernes",8,"Suchitepequez","Urbano","Hombre","17","15-19","Ignorado","Motocicleta","Gris","Ignorado","Caida"
3376,17,"Diciembre",9,"Jueves",14,"Quiche","Rural","Hombre","17","Menos de 15","Ignorado","Camión","Blanco","Ignorado","Volco"
2564,2,"Septiembre",9,"Miercoles",16,"Guatemala","Urbano","Hombre","17","15-19","Normal","Automovil","Rojo","1983","Colisión"
544,18,"Febrero",9,"Miercoles",15,"Solola","Rural","Hombre","17","15-19","Normal","Automovil","Verde","1995","Colisión"
3142,13,"Noviembre",9,"Viernes",3,"Guatemala","Urbano","Hombre","17","15-19","Normal","Automovil","Blanco","2007","Empotro"
1189,18,"Abril",9,"Sabado",16,"Peten","Urbano","Hombre","17","15-19","Normal","Automovil","Café","Ignorado","Empotro"
34,3,"Enero",9,"Sabado",16,"Chiquimula","Rural","Hombre","17","15-19","Normal","Camioneta","Azul","1989","Volco"
3431,22,"Diciembre",9,"Martes",13,"Retalhuleu","Urbano","Hombre","17","15-19","Normal","Pick up","Rojo","Ignorado","Colisión"
241,24,"Enero",9,"Sabado",11,"Zacapa","Rural","Hombre","17","15-19","Normal","Pick up","Beige","2006","Volco"
553,19,"Febrero",9,"Jueves",9,"Peten","Rural","Hombre","17","15-19","Normal","Motocicleta","Azul","2007","Colisión"
365,3,"Febrero",9,"Martes",19,"Retalhuleu","Urbano","Mujer","17","15-19","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
388,5,"Febrero",9,"Jueves",14,"Baja Verapaz","Urbano","Hombre","17","15-19","Normal","Motocicleta","Azul","Ignorado","Colisión"
1465,16,"Mayo",9,"Sabado",21,"Guatemala","Urbano","Hombre","17","15-19","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
1518,21,"Mayo",9,"Jueves",21,"Escuintla","Rural","Hombre","17","15-19","Normal","Motocicleta","Azul","Ignorado","Colisión"
992,30,"Marzo",9,"Lunes",19,"Peten","Rural","Hombre","17","15-19","Normal","Motocicleta","Ignorado","Ignorado","Empotro"
1920,9,"Julio",9,"Jueves",0,"Retalhuleu","Rural","Hombre","17","15-19","Normal","Motocicleta","Rojo","Ignorado","Caida"
3124,8,"Noviembre",9,"Domingo",10,"Chiquimula","Urbano","Hombre","17","15-19","Normal","Microbus","Blanco","2004","Colisión"
576,21,"Febrero",9,"Sabado",13,"Chimaltenango","Rural","Hombre","18","Menos de 15","Ignorado","Automovil","Azul","1996","Colisión"
3174,20,"Noviembre",9,"Viernes",11,"Guatemala","Urbano","Hombre","18","Menos de 15","Ignorado","Automovil","Verde","Ignorado","Colisión"
252,25,"Enero",9,"Domingo",0,"Guatemala","Rural","Hombre","18","Menos de 15","Ignorado","Automovil","Beige","Ignorado","Empotro"
1618,5,"Junio",9,"Viernes",19,"Guatemala","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Blanco","2005","Colisión"
2175,5,"Agosto",9,"Miercoles",13,"Zacapa","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Azul","2006","Colisión"
2245,5,"Agosto",9,"Miercoles",13,"Zacapa","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Azul","2006","Colisión"
2315,5,"Agosto",9,"Miercoles",13,"Zacapa","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Azul","2006","Colisión"
570,21,"Febrero",9,"Sabado",13,"Quetzaltenango","Rural","Mujer","18","Menos de 15","Ignorado","Motocicleta","Amarillo","Ignorado","Colisión"
645,27,"Febrero",9,"Viernes",6,"Guatemala","Urbano","Hombre","18","Menos de 15","Ignorado","Motocicleta","Negro","Ignorado","Colisión"
1154,13,"Abril",9,"Lunes",20,"El Progreso","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
2827,6,"Octubre",9,"Martes",21,"Escuintla","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Negro","Ignorado","Colisión"
2987,24,"Octubre",9,"Sabado",21,"Escuintla","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
3008,27,"Octubre",9,"Martes",20,"Suchitepequez","Urbano","Hombre","18","Menos de 15","Ignorado","Motocicleta","Negro","Ignorado","Colisión"
3284,6,"Diciembre",9,"Domingo",5,"Guatemala","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Azul","Ignorado","Colisión"
849,15,"Marzo",9,"Domingo",22,"Escuintla","Urbano","Hombre","18","Menos de 15","Ignorado","Motocicleta","Rojo","Ignorado","Empotro"
968,28,"Marzo",9,"Sabado",16,"Izabal","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Negro","1999","Caida"
2598,7,"Septiembre",9,"Lunes",7,"Chimaltenango","Rural","Hombre","18","Menos de 15","Ignorado","Motocicleta","Ignorado","Ignorado","Caida"
2958,21,"Octubre",9,"Miercoles",15,"Suchitepequez","Urbano","Mujer","18","Menos de 15","Ignorado","Motocicleta","Ignorado","Ignorado","Caida"
2981,23,"Octubre",9,"Viernes",18,"Peten","Urbano","Mujer","18","Menos de 15","Ignorado","Motocicleta","Gris","Ignorado","Caida"
1311,1,"Mayo",9,"Viernes",18,"Alta Verpaz","Rural","Hombre","18","Menos de 15","Ignorado","Camión","Blanco","Ignorado","Caida"
2579,5,"Septiembre",9,"Sabado",13,"Guatemala","Rural","Hombre","18","Menos de 15","Ignorado","Microbus","Azul","Ignorado","Empotro"
109,11,"Enero",9,"Domingo",18,"San Marcos","Rural","Hombre","18","Menos de 15","Ignorado","Mototaxi","Rojo","2007","Volco"
3001,26,"Octubre",9,"Lunes",13,"Guatemala","Urbano","Hombre","18","Menos de 15","Ignorado","Mototaxi","Rojo","Ignorado","Volco"
864,17,"Marzo",9,"Martes",14,"Izabal","Urbano","Mujer","18","Menos de 15","Ignorado","Ignorado","Ignorado","Ignorado","Empotro"
405,7,"Febrero",9,"Sabado",20,"Totonicapan","Urbano","Hombre","18","Menos de 15","Ebrio","Automovil","Café","1993","Colisión"
406,7,"Febrero",9,"Sabado",15,"Alta Verpaz","Rural","Hombre","18","Menos de 15","Ebrio","Automovil","Café","1993","Colisión"
728,4,"Marzo",9,"Miercoles",23,"Guatemala","Urbano","Hombre","18","Menos de 15","Ebrio","Automovil","Gris","2009","Colisión"
2343,8,"Agosto",9,"Sabado",22,"Suchitepequez","Rural","Hombre","18","Menos de 15","Ebrio","Automovil","Gris","Ignorado","Colisión"
2660,15,"Septiembre",9,"Martes",13,"Zacapa","Rural","Hombre","18","Menos de 15","Ebrio","Automovil","Ignorado","Ignorado","Colisión"
3155,17,"Noviembre",9,"Martes",23,"Quetzaltenango","Urbano","Hombre","18","Menos de 15","Ebrio","Pick up","Corinto","1996","Colisión"
1626,5,"Junio",9,"Viernes",0,"Chimaltenango","Rural","Hombre","18","Menos de 15","Ebrio","Pick up","Verde","1998","Colisión"
2844,9,"Octubre",9,"Viernes",8,"Guatemala","Urbano","Hombre","18","Menos de 15","Ebrio","Pick up","Corinto","1998","Colisión"
518,15,"Febrero",9,"Domingo",22,"Huehuetenango","Rural","Hombre","18","Menos de 15","Ebrio","Pick up","Ignorado","Ignorado","Colisión"
2002,18,"Julio",9,"Sabado",20,"Quetzaltenango","Rural","Hombre","18","Menos de 15","Ebrio","Pick up","Azul","Ignorado","Colisión"
127,13,"Enero",9,"Martes",23,"Quetzaltenango","Urbano","Hombre","18","Menos de 15","Ebrio","Motocicleta","Rojo","2008","Colisión"
2492,24,"Agosto",9,"Lunes",21,"Huehuetenango","Urbano","Hombre","18","Menos de 15","Ebrio","Motocicleta","Blanco","Ignorado","Colisión"
3068,2,"Noviembre",9,"Lunes",23,"San Marcos","Rural","Hombre","18","Menos de 15","Ebrio","Motocicleta","Rojo","Ignorado","Empotro"
2640,12,"Septiembre",9,"Sabado",21,"Chimaltenango","Rural","Hombre","18","Menos de 15","Ebrio","Motocicleta","Corinto","2008","Caida"
1961,13,"Julio",9,"Lunes",22,"Quetzaltenango","Urbano","Hombre","18","Menos de 15","Ebrio","Motocicleta","Negro","Ignorado","Caida"
3170,19,"Noviembre",9,"Jueves",19,"Guatemala","Urbano","Hombre","18","Menos de 15","Ebrio","Motocicleta","Negro","Ignorado","Caida"
1312,1,"Mayo",9,"Viernes",0,"El Progreso","Rural","Hombre","18","Menos de 15","Ebrio","Camión","Blanco","2008","Colisión"
1910,7,"Julio",9,"Martes",14,"El Progreso","Rural","Hombre","18","Menos de 15","Normal","Automovil","Negro","1988","Colisión"
1924,9,"Julio",9,"Jueves",14,"Guatemala","Urbano","Hombre","18","Menos de 15","Normal","Automovil","Negro","1990","Colisión"
2182,6,"Agosto",9,"Jueves",7,"San Marcos","Rural","Hombre","18","Menos de 15","Normal","Automovil","Azul","1991","Colisión"
2252,6,"Agosto",9,"Jueves",7,"San Marcos","Rural","Hombre","18","Menos de 15","Normal","Automovil","Azul","1991","Colisión"
2322,6,"Agosto",9,"Jueves",7,"San Marcos","Rural","Hombre","18","Menos de 15","Normal","Automovil","Azul","1991","Colisión"
2526,28,"Agosto",9,"Viernes",12,"Escuintla","Urbano","Hombre","18","Menos de 15","Normal","Automovil","Café","1999","Colisión"
1525,22,"Mayo",9,"Viernes",18,"Guatemala","Urbano","Hombre","18","Menos de 15","Normal","Automovil","Gris","2000","Colisión"
370,4,"Febrero",9,"Miercoles",17,"Guatemala","Urbano","Hombre","18","Menos de 15","Normal","Automovil","Gris","2001","Colisión"
216,21,"Enero",9,"Miercoles",13,"Guatemala","Urbano","Mujer","18","Menos de 15","Normal","Automovil","Verde","2002","Colisión"
1221,21,"Abril",9,"Martes",0,"Guatemala","Rural","Hombre","18","Menos de 15","Normal","Automovil","Blanco","Ignorado","Colisión"
3109,7,"Noviembre",9,"Sabado",22,"Alta Verpaz","Rural","Hombre","18","Menos de 15","Normal","Automovil","Verde","1991","Empotro"
2524,28,"Agosto",9,"Viernes",2,"Guatemala","Urbano","Hombre","18","Menos de 15","Normal","Automovil","Blanco","2008","Empotro"
747,7,"Marzo",9,"Sabado",22,"Quetzaltenango","Rural","Hombre","18","Menos de 15","Normal","Automovil","Ignorado","Ignorado","Empotro"
3485,27,"Diciembre",9,"Domingo",17,"Chiquimula","Rural","Hombre","18","Menos de 15","Normal","Camioneta","Negro","1996","Colisión"
3350,13,"Diciembre",9,"Domingo",9,"San Marcos","Rural","Mujer","18","Menos de 15","Normal","Pick up","Negro","Ignorado","Ignorado"
918,23,"Marzo",9,"Lunes",5,"Alta Verpaz","Rural","Hombre","18","Menos de 15","Normal","Pick up","Blanco","1985","Colisión"
2976,23,"Octubre",9,"Viernes",11,"Suchitepequez","Urbano","Hombre","18","Menos de 15","Normal","Pick up","Negro","1990","Colisión"
3022,29,"Octubre",9,"Jueves",15,"Santa Rosa","Rural","Hombre","18","Menos de 15","Normal","Pick up","Negro","1991","Colisión"
2369,12,"Agosto",9,"Miercoles",19,"Quetzaltenango","Rural","Hombre","18","Menos de 15","Normal","Pick up","Gris","1994","Colisión"
2073,27,"Julio",9,"Lunes",17,"Huehuetenango","Rural","Hombre","18","Menos de 15","Normal","Pick up","Verde","1996","Colisión"
