<<<<<<< Updated upstream
"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_v","color_v","modelo_v","causa_ac"
31,"Enero","Domingo",15,"El Progreso","Rural",99,"Ignorado",999,"Ignorado","Camion","Blanco",9999,"Vuelco"
29,"Noviembre","Lunes",22,"Quetzaltenango","Rural",99,"Hombre",37,"No Ebrio","Camion","Amarillo",9999,"Vuelco"
6,"Diciembre","Lunes",7,"Huehuetenango","Rural",99,"Hombre",55,"No Ebrio","Camion","Ignorado",9999,"Caida"
8,"Agosto","Domingo",17,"Alta Verapaz","Rural",99,"Hombre",35,"No Ebrio","Pick-up","Azul",9999,"Colision"
9,"Enero","Sabado",20,"El Progreso","Rural",99,"Hombre",24,"Ignorado","Motocicleta","Gris",9999,"Colision"
30,"Abril","Viernes",2,"Guatemala","Urbano",18,"Hombre",22,"Ebrio","Automovil","Gris",1994,"Vuelco"
9,"Diciembre","Jueves",7,"Solola","Rural",99,"Ignorado",999,"Ignorado","Camion","Blanco",9999,"Colision"
31,"Julio","Sabado",8,"Chiquimula","Rural",99,"Hombre",24,"No Ebrio","Camion","Ignorado",9999,"Colision"
1,"Septiembre","Miercoles",8,"Quetzaltenango","Rural",99,"Hombre",50,"No Ebrio","Microbus","Azul",9999,"Choque"
18,"Septiembre","Sabado",13,"Guatemala","Rural",99,"Hombre",36,"No Ebrio","Camioneta","Verde",1996,"Choque"
12,"Enero","Martes",23,"Peten","Rural",99,"Hombre",35,"Ignorado","Camioneta","Gris",9999,"Colision"
16,"Enero","Sabado",13,"Escuintla","Rural",99,"Hombre",35,"Ignorado","Pick-up","Corinto",9999,"Colision"
4,"Diciembre","Sabado",1,"Guatemala","Urbano",12,"Hombre",30,"Ignorado","Automovil","Celeste",9999,"Choque"
15,"Septiembre","Miercoles",3,"Suchitepequez","Urbano",99,"Hombre",24,"Ignorado","Automovil","Negro",9999,"Choque"
8,"Agosto","Domingo",3,"Guatemala","Urbano",18,"Ignorado",999,"Ignorado","Automovil","Ignorado",9999,"Choque"
11,"Diciembre","Sabado",3,"Guatemala","Rural",99,"Hombre",999,"No Ebrio","Motocicleta","Negro",9999,"Choque"
25,"Diciembre","Sabado",4,"Guatemala","Urbano",7,"Hombre",24,"Ignorado","Camioneta","Corinto",1993,"Choque"
29,"Noviembre","Lunes",7,"Guatemala","Rural",99,"Hombre",30,"Ignorado","Cabezal","Ignorado",9999,"Vuelco"
