<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","edad_m1","g_edad_fall_les","estado_implicado","tipo_vehi","color_vehi","casusa_acc"
1,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Mujer","32","Mayor","30-34","Lesionado","Automovil","Rojo","Colisiono"
2,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Mujer","69","Mayor","55 y más","Lesionado","Automovil","Verde","Colisiono"
3,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Hombre","76","Mayor","55 y más","Lesionado","Automovil","Verde","Colisiono"
4,1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","52","Mayor","50-54","Lesionado","Pick up","Gris","Choque"
5,1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","47","Mayor","45-49","Lesionado","Pick up","Gris","Choque"
6,1,"Enero","Domingo",9,"Guatemala","Mixco","Urbano","6","Hombre","28","Mayor","25-29","Lesionado","Motocicleta","Rojo","Colisiono"
7,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Hombre","36","Mayor","35-39","Lesionado","Bus urbano","Rojo","Vuelco"
8,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Hombre","52","Mayor","50-54","Lesionado","Bus urbano","Rojo","Vuelco"
9,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Mujer","17","Menor","15-19","Lesionado","Bus urbano","Rojo","Vuelco"
10,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Mujer","25","Mayor","25-29","Lesionado","Bus urbano","Rojo","Vuelco"
11,1,"Enero","Domingo",10,"Jutiapa","Pasaco","Rural","Ignorado","Hombre","31","Mayor","30-34","Fallecido","Pick up","Rojo","Choque"
12,1,"Enero","Domingo",10,"Jutiapa","Pasaco","Rural","Ignorado","Mujer","10","Menor","Menosr de 15","Lesionado","Pick up","Rojo","Choque"
13,1,"Enero","Domingo",10,"Jutiapa","Pasaco","Rural","Ignorado","Mujer","10","Menor","Menosr de 15","Lesionado","Pick up","Rojo","Choque"
14,1,"Enero","Domingo",16,"Jalapa","San Luis Jilotepeque","Rural","Ignorado","Mujer","23","Mayor","20-24","Lesionado","Motocicleta","Rojo","Colisiono"
15,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","45","Mayor","45-49","Lesionado","Automovil","Corinto","Colisiono"
16,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","21","Mayor","20-24","Lesionado","Automovil","Corinto","Colisiono"
17,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","19","Mayor","15-19","Lesionado","Automovil","Negro","Colisiono"
18,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Mujer","15","Menor","15-19","Lesionado","Automovil","Negro","Colisiono"
19,1,"Enero","Domingo",0,"Zacapa","Zacapa","Rural","Ignorado","Hombre","33","Mayor","30-34","Lesionado","Pick up","Verde","Vuelco"
20,1,"Enero","Domingo",0,"Zacapa","Zacapa","Rural","Ignorado","Mujer","24","Mayor","20-24","Lesionado","Pick up","Verde","Vuelco"
21,1,"Enero","Domingo",19,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","58","Mayor","55 y más","Lesionado","Camioneta","Beige","Choque"
22,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","38","Mayor","35-39","Fallecido","Pick up","Azul","Colisiono"
