"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
1,1,"Enero","Domingo",12,"Guatemala","Guatemala","Urbano","3","Hombre","40","40-44","Mayor","Normal","Automovil","Verde","Colisión"
2,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","18","Hombre","44","40-44","Mayor","Bajo efectos de alcohol","Automovil","Blanco","Colisión"
3,1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","52","50-54","Mayor","Normal","Pick up","Blanco","Choque"
4,1,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","11","Mujer","35","35-39","Mayor","Normal","Automovil","Blanco","Colisión"
5,1,"Enero","Domingo",9,"Guatemala","Mixco","Urbano","6","Hombre","19","15-19","Mayor","Bajo efectos de alcohol","Motocicleta","Blanco","Colisión"
6,1,"Enero","Domingo",12,"Guatemala","Mixco","Rural","1","Hombre","40","40-44","Mayor","Bajo efectos de alcohol","Bus urbano","Rojo","Vuelco"
7,1,"Enero","Domingo",11,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","43","40-44","Mayor","Normal","Motocicleta","Rojo","Choque"
8,1,"Enero","Domingo",10,"Jutiapa","Pasaco","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Pick up","Rojo","Choque"
9,1,"Enero","Domingo",16,"Jalapa","San Luis Jilotepeque","Rural","Ignorado","Hombre","42","40-44","Mayor","Bajo efectos de alcohol","Pick up","Gris","Colisión"
10,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","45","45-49","Mayor","Bajo efectos de alcohol","Automovil","Corinto","Colisión"
11,1,"Enero","Domingo",0,"Zacapa","Zacapa","Rural","Ignorado","Hombre","33","30-34","Mayor","Bajo efectos de alcohol","Pick up","Verde","Vuelco"
12,1,"Enero","Domingo",19,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Bajo efectos de alcohol","camioneta","Beige","Choque"
13,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","38","35-39","Mayor","Normal","Pick up","Azul","Colisión"
14,1,"Enero","Domingo",17,"Escuintla","Escuintla","Rural","Ignorado","Hombre","35","35-39","Mayor","Bajo efectos de alcohol","Pick up","Amarillo","Vuelco"
15,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Ignorado","Vuelco"
16,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","76","55 y más","Mayor","Normal","Pick up","Ignorado","Vuelco"
17,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","27","25-29","Mayor","Bajo efectos de alcohol","Pick up","Gris","Colisión"
18,1,"Enero","Domingo",19,"Quetzaltenango","San Francisco la Unión","Rural","Ignorado","Hombre","28","25-29","Mayor","Bajo efectos de alcohol","Pick up","Negro","Colisión"
19,1,"Enero","Domingo",14,"San Marcos","San Antonio Sacatepéquez","Rural","Ignorado","Hombre","29","25-29","Mayor","Bajo efectos de alcohol","Pick up","Rojo","Colisión"
20,1,"Enero","Domingo",4,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Pick up","Negro","Vuelco"
21,1,"Enero","Domingo",15,"Huehuetenango","Huehuetenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","camioneta","Ignorado","Colisión"
22,1,"Enero","Domingo",6,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","25-29","Mayor","Bajo efectos de alcohol","Pick up","Negro","Vuelco"
23,1,"Enero","Domingo",13,"Baja Verapaz","San Jerónimo","Rural","Ignorado","Hombre","26","25-29","Mayor","Bajo efectos de alcohol","Motocicleta","Negro","Choque"
24,1,"Enero","Domingo",17,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","27","25-29","Mayor","Bajo efectos de alcohol","Mototaxi","Rojo","Vuelco"
25,1,"Enero","Domingo",2,"Izabal","Puerto Barrios","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Motocicleta","Rojo","Colisión"
26,1,"Enero","Domingo",2,"Petén","Poptún","Rural","Ignorado","Hombre","46","45-49","Mayor","Normal","Pick up","Ignorado","Vuelco"
27,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Rojo","Choque"
28,2,"Enero","Lunes",22,"Guatemala","Guatemala","Urbano","3","Hombre","38","35-39","Mayor","Normal","Automovil","Blanco","Colisión"
29,2,"Enero","Lunes",22,"Guatemala","Fraijanes","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Pick up","Rojo","Colisión"
30,2,"Enero","Lunes",13,"Guatemala","Mixco","Urbano","3","Hombre","33","30-34","Mayor","Bajo efectos de alcohol","Automovil","Verde","Colisión"
31,2,"Enero","Lunes",22,"Guatemala","Mixco","Urbano","4","Hombre","30","30-34","Mayor","Normal","Motocicleta","Rojo","Vuelco"
32,2,"Enero","Lunes",10,"Chiquimula","San Jacinto","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Ignorado","Vuelco"
33,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Pick up","Gris","Colisión"
34,2,"Enero","Lunes",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","45","45-49","Mayor","Bajo efectos de alcohol","Automovil","Anaranjado","Colisión"
35,2,"Enero","Lunes",7,"Suchitepéquez","Mazatenango","Urbano","1","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Rojo","Choque"
36,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","38","35-39","Mayor","Normal","Pick up","Corinto","Vuelco"
37,2,"Enero","Lunes",22,"El Progreso","Sansare","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Choque"
38,2,"Enero","Lunes",11,"Solola","Sololá","Rural","Ignorado","Hombre","58","55 y más","Mayor","Normal","Microbus","Verde","Colisión"
39,2,"Enero","Lunes",16,"Solola","Panajachel","Rural","Ignorado","Hombre","56","55 y más","Mayor","Normal","Pick up","Corinto","Colisión"
40,3,"Enero","Martes",19,"Guatemala","Palencia","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Motocicleta","Rojo","Vuelco"
41,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","25","25-29","Mayor","Ignorado","Cabezal","Beige","Colisión"
42,3,"Enero","Martes",18,"Guatemala","Guatemala","Urbano","10","Hombre","53","50-54","Mayor","Normal","Automovil","Rojo","Colisión"
43,3,"Enero","Martes",9,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Hombre","76","55 y más","Mayor","Normal","Camion","Ignorado","Colisión"
44,3,"Enero","Martes",8,"Quiché","Chajul","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Microbus","Verde","Colisión"
45,3,"Enero","Martes",15,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","camioneta","Blanco","Choque"
46,3,"Enero","Martes",9,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Pick up","Blanco","Colisión"
47,4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","37","35-39","Mayor","Normal","Camion","Azul","Colisión"
48,4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","44","40-44","Mayor","Normal","Pick up","Verde","Choque"
49,4,"Enero","Miercoles",19,"Escuintla","Escuintla","Urbano","1","Hombre","25","25-29","Mayor","Normal","Pick up","Rojo","Colisión"
50,5,"Enero","Jueves",18,"Guatemala","Guatemala","Urbano","6","Hombre","38","35-39","Mayor","Normal","Jeep","Blanco","Colisión"
51,5,"Enero","Jueves",21,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","20","20-24","Mayor","Bajo efectos de alcohol","Automovil","Blanco","Colisión"
52,5,"Enero","Jueves",9,"Guatemala","Villa Nueva","Urbano","12","Hombre","36","35-39","Mayor","Normal","Pick up","Morado","Colisión"
53,5,"Enero","Jueves",18,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","40","40-44","Mayor","Normal","Motocicleta","Ignorado","Colisión"
54,6,"Enero","Viernes",20,"Escuintla","Escuintla","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Blanco","Colisión"
55,6,"Enero","Viernes",11,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Mototaxi","Rojo","Caida"
56,7,"Enero","Sabado",21,"Guatemala","Guatemala","Urbano","1","Hombre","31","30-34","Mayor","Normal","camioneta","Blanco","Colisión"
57,7,"Enero","Sabado",22,"Guatemala","Guatemala","Urbano","17","Hombre","25","25-29","Mayor","Normal","Automovil","Blanco","Colisión"
58,7,"Enero","Sabado",18,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","36","35-39","Mayor","Ignorado","Motocicleta","Rojo","Colisión"
59,7,"Enero","Sabado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","56","55 y más","Mayor","Ignorado","Camion","Blanco","Colisión"
60,7,"Enero","Sabado",11,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Motocicleta","Rojo","Colisión"
61,7,"Enero","Sabado",22,"Quetzaltenango","Quetzaltenango","Rural","Ignorado","Hombre","21","20-24","Mayor","Bajo efectos de alcohol","Microbus","Rojo","Colisión"
62,7,"Enero","Sabado",1,"Baja Verapaz","Salamá","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Automovil","Azul","Choque"
63,7,"Enero","Sabado",13,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","60","55 y más","Mayor","Normal","Automovil","Verde","Choque"
64,7,"Enero","Sabado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Automovil","Gris","Colisión"
65,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","25","25-29","Mayor","Normal","Motocicleta","Ignorado","Colisión"
66,8,"Enero","Domingo",1,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","49","45-49","Mayor","Bajo efectos de alcohol","Pick up","Ignorado","Choque"
67,8,"Enero","Domingo",1,"Guatemala","Guatemala","Urbano","12","Hombre","23","20-24","Mayor","Ignorado","Automovil","Ignorado","Choque"
68,8,"Enero","Domingo",16,"Petén","San Andrés","Urbano","Ignorado","Hombre","28","25-29","Mayor","Ignorado","Motocicleta","Ignorado","Choque"
69,8,"Enero","Domingo",1,"Guatemala","Mixco","Urbano","7","Hombre","29","25-29","Mayor","Ignorado","Automovil","Gris","Colisión"
70,9,"Enero","Lunes",0,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Ignorado","Vuelco"
71,9,"Enero","Lunes",15,"Guatemala","Petapa","Urbano","9","Hombre","36","35-39","Mayor","Ignorado","Pick up","Rojo","Colisión"
72,9,"Enero","Lunes",16,"Quetzaltenango","San Juan Ostuncalco","Rural","Ignorado","Hombre","39","35-39","Mayor","Bajo efectos de alcohol","Camion","Blanco","Colisión"
73,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Vuelco"
74,9,"Enero","Lunes",20,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","44","40-44","Mayor","Bajo efectos de alcohol","Pick up","Gris","Colisión"
75,9,"Enero","Lunes",7,"Solola","San Pedro La Laguna","Rural","Ignorado","Hombre","34","30-34","Mayor","Normal","Camion","Anaranjado","Vuelco"
76,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Vuelco"
77,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Vuelco"
78,9,"Enero","Lunes",15,"Sacatepéquez","Santiago Sactepéquez","Rural","Ignorado","Hombre","27","25-29","Mayor","Bajo efectos de alcohol","Pick up","Negro","Choque"
