"","núm_corre","año_ocu","día_ocu","hora_ocu","g_hora","g_hora_5","mes_ocu","día_sem_ocu","mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve"
"1",1,2017,1,1,1,1,1,7,101,1,6,1,37,6,6,8,1,1,12,7,7,1971,1,1
"2",2,2017,1,1,1,1,1,7,101,1,6,1,39,6,6,8,2,1,1,28,2,9999,6,1
"3",3,2017,1,2,1,1,1,7,110,1,99,1,20,3,3,5,2,1,4,18,1,9999,6,2
"4",4,2017,1,10,2,1,1,7,504,5,99,1,20,3,3,5,9,1,14,6,1,2014,5,1
"5",5,2017,1,10,2,1,1,7,504,5,99,1,25,4,4,6,9,1,1,69,4,1992,3,1
"6",6,2017,1,14,3,2,1,7,511,5,99,1,21,3,3,5,1,1,4,64,5,9999,6,1
"7",7,2017,1,14,3,2,1,7,511,5,99,1,47,8,8,10,1,1,3,69,2,1994,3,1
"8",8,2017,1,2,1,1,1,7,502,5,99,1,30,5,5,7,9,1,4,54,5,9999,6,1
"9",9,2017,1,2,1,1,1,7,502,5,99,9,999,16,12,18,9,9,1,52,4,9999,6,1
"10",10,2017,1,20,4,3,1,7,107,1,99,1,54,9,9,11,1,1,5,158,2,1994,3,1
"11",11,2017,1,20,4,3,1,7,107,1,99,1,18,2,2,4,9,1,4,999,99,9999,6,1
"12",12,2017,1,21,4,3,1,7,107,1,99,1,29,4,4,6,2,1,4,999,1,2013,5,1
"13",13,2017,1,21,4,3,1,7,107,1,99,1,54,9,9,11,1,1,1,28,2,2012,5,1
"14",14,2017,1,7,2,1,1,7,1301,13,99,1,33,5,5,7,2,1,4,67,1,2007,4,2
"15",15,2017,1,16,3,2,1,7,801,8,99,1,35,6,6,8,9,1,2,69,9,9999,6,1
"16",16,2017,1,16,3,2,1,7,801,8,99,1,999,16,12,18,9,1,1,69,1,9999,6,1
"17",17,2017,1,16,3,2,1,7,801,8,99,2,999,16,12,18,9,1,2,69,5,9999,6,1
"18",18,2017,1,18,4,3,1,7,802,8,99,1,29,4,4,6,9,1,3,56,10,1982,2,1
