"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","ano_ocu","muni_ocu","grupo_edad_pil","mayor_men","marca_veh","grupo_mod_veh","grupo_hor_ocu","grupo_eda_pil"
31,"Enero","Domingo",15,"El Progreso","Rural",99,"Ignorado",99,"Ignorado","Camion","Blanco","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
29,"Noviembre","Lunes",22,"Quetzaltenango","Rural",99,"Hombre",99,"No Ebrio","Camion","Amarillo","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
6,"Diciembre","Lunes",7,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Camion","Ignorado","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
8,"Agosto","Domingo",17,"Alta Verapaz","Rural",99,"Hombre",99,"No Ebrio","Pick-up","Azul","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
9,"Enero","Sabado",20,"El Progreso","Rural",99,"Hombre",99,"Ignorado","Motocicleta","Gris","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
30,"Abril","Viernes",2,"Guatemala","Urbano",18,"Hombre",18,"Ebrio","Automovil","Gris","18","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
9,"Diciembre","Jueves",7,"Solola","Rural",99,"Ignorado",99,"Ignorado","Camion","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
31,"Julio","Sabado",8,"Chiquimula","Rural",99,"Hombre",99,"No Ebrio","Camion","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
1,"Septiembre","Miercoles",8,"Quetzaltenango","Rural",99,"Hombre",99,"No Ebrio","Microbus","Azul","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
18,"Septiembre","Sabado",13,"Guatemala","Rural",99,"Hombre",99,"No Ebrio","Camioneta","Verde","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
12,"Enero","Martes",23,"Peten","Rural",99,"Hombre",99,"Ignorado","Camioneta","Gris","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
16,"Enero","Sabado",13,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Pick-up","Corinto","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
4,"Diciembre","Sabado",1,"Guatemala","Urbano",12,"Hombre",12,"Ignorado","Automovil","Celeste","12","Choque",2010,NA,NA,NA,NA,NA,NA,NA
15,"Septiembre","Miercoles",3,"Suchitepequez","Urbano",99,"Hombre",99,"Ignorado","Automovil","Negro","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
8,"Agosto","Domingo",3,"Guatemala","Urbano",18,"Ignorado",18,"Ignorado","Automovil","Ignorado","18","Choque",2010,NA,NA,NA,NA,NA,NA,NA
11,"Diciembre","Sabado",3,"Guatemala","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Negro","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
